MSLU9061648,40,HC,"MLCHNKGJS2105F1               ","126526              ","MAZDA POWERTRAIN MANUFACTURING (THAILAND) CO.,LTD.                                                  ","21SEX-03821-00      ","CMA CHINA                                                                                           ","JOSCO SHINE 2105N                                                                                   ","                    ","                    ",2021-04-19,"MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","648592 ",2021-04-03 16:14:22.970,"ZC041     ","MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","759239 ",2021-04-16 10:57:12.127
SEGU5950319,40,GP,"BKKBB2264800                  ","THAO66899           ","AW (THAILAND) CO.,LTD.                                                                              ","21SEX-03956-00      ","JAPAN                                                                                               ","NYK SILVIA 549N                                                                                     ","                    ","                    ",2021-04-16,"MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","648595 ",2021-04-07 10:35:33.983,"S011      ","MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","623606 ",2021-04-16 10:17:28.743
FCIU8580543,40,HC,"MLCHNKGJS2105F1               ","126525              ","MAZDA POWERTRAIN MANUFACTURING (THAILAND) CO.,LTD.                                                  ","21SEX-03821-00      ","CMA CHINA                                                                                           ","JOSCO SHINE 2105N                                                                                   ","                    ","                    ",2021-04-19,"MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","648592 ",2021-04-05 16:05:31.443,"ZC042     ","MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","738408 ",2021-04-16 10:11:04.960
FCIU7009102,40,HC,"MLCHNKGJS2105F1               ","126541              ","MAZDA POWERTRAIN MANUFACTURING (THAILAND) CO.,LTD.                                                  ","21SEX-03821-00      ","CMA CHINA                                                                                           ","JOSCO SHINE 2105N                                                                                   ","                    ","                    ",2021-04-19,"MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","759242 ",2021-04-06 08:09:03.600,"ZC043     ","MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","648594 ",2021-04-16 10:05:46.910
TCKU6688519,40,HC,"MLCHNKGJS2105F1               ","126529              ","MAZDA POWERTRAIN MANUFACTURING (THAILAND) CO.,LTD.                                                  ","21SEX-03821-00      ","CMA CHINA                                                                                           ","JOSCO SHINE 2105N                                                                                   ","                    ","                    ",2021-04-19,"MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","759241 ",2021-04-06 08:08:25.757,"ZC051     ","MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","604245 ",2021-04-16 10:04:07.407
MSLU9130902,40,HC,"MLCHNKGJS2105F1               ","126527              ","MAZDA POWERTRAIN MANUFACTURING (THAILAND) CO.,LTD.                                                  ","21SEX-03821-00      ","CMA CHINA                                                                                           ","JOSCO SHINE 2105N                                                                                   ","                    ","                    ",2021-04-19,"MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","759242 ",2021-04-06 08:34:41.290,"ZC052     ","MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","711731 ",2021-04-16 10:00:23.890
OOLU9160408,40,HC,"2665097340                    ","OOLFQB5224          ","MAZDA POWERTRAIN MANUFACTURING (THAILAND) CO.,LTD.                                                  ","21SEX-03796-00      ","JAPAN/ENGINE                                                                                        ","OOCL LE HAVRE 142N                                                                                  ","                    ","                    ",2021-04-16,"MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","648592 ",2021-04-09 15:42:39.023,"ZE011     ","MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","648600 ",2021-04-16 09:35:35.183
TEMU8235389,40,HC,"MLCHNKGJS2105F1               ","126530              ","MAZDA POWERTRAIN MANUFACTURING (THAILAND) CO.,LTD.                                                  ","21SEX-03821-00      ","CMA CHINA                                                                                           ","JOSCO SHINE 2105N                                                                                   ","                    ","                    ",2021-04-19,"MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","759242 ",2021-04-06 15:28:15.007,"ZC053     ","MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","615582 ",2021-04-16 08:26:17.227
TCLU4649953,40,GP,"BKKBB2264800                  ","THAO68482           ","AW (THAILAND) CO.,LTD.                                                                              ","21SEX-03956-00      ","JAPAN                                                                                               ","NYK SILVIA 549N                                                                                     ","                    ","                    ",2021-04-16,"MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","635386 ",2021-04-07 16:02:58.667,"S012      ","MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","738347 ",2021-04-16 08:03:06.040
TCKU4512794,40,GP,"BKKB71252900                  ","THAO68402           ","AW (THAILAND) CO.,LTD.                                                                              ","21SEX-03872-00      ","JAPAN                                                                                               ","NYK SILVIA 549N                                                                                     ","                    ","                    ",2021-04-16,"MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","641071 ",2021-04-07 13:06:43.867,"V031      ","MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","711975 ",2021-04-16 08:00:44.447
MOFU5867191,40,GP,"BKKB71252900                  ","THAO68415           ","AW (THAILAND) CO.,LTD.                                                                              ","21SEX-03872-00      ","JAPAN                                                                                               ","NYK SILVIA 549N                                                                                     ","                    ","                    ",2021-04-16,"MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","648600 ",2021-04-08 16:21:31.260,"V032      ","MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","734822 ",2021-04-16 07:58:04.527
